ADC_raw,ADC_smooth,ADC_corrected,is_stable
16948.0,16953.419348728567,16970.90290378647,True
16961.0,16953.855711782347,16970.78423334635,True
16961.0,16953.949932854943,16970.323420925044,True
16954.0,16953.75066050052,16969.569115076716,True
16900.0,16955.119155602457,16970.382576684755,True
16937.0,16955.45070623325,16970.159093821643,True
16953.0,16955.59886279648,16969.752216890975,True
16953.0,16955.835822414767,16969.434143015358,True
16983.0,16955.971794264384,16969.015081371075,True
16985.0,16956.0540024852,16968.54225609799,True
16981.0,16956.354084920633,16968.28730503952,True
16986.0,16956.58733640112,16967.965523026105,True
16988.0,16956.845038870393,16967.668192001478,True
16976.0,16957.38506957249,16967.653189209672,True
16974.0,16957.981870029238,16967.69495617252,True
16966.0,16958.815638843014,16967.973691492392,True
16969.0,16959.563066012914,16968.166085168392,True
16971.0,16960.350169966026,16968.3981556276,True
16972.0,16961.52467382418,16969.017625991855,True
16975.0,16962.750581851877,16969.688500525648,True
16973.0,16964.147343858174,16970.530229038046,True
16965.0,16965.35454516083,16971.182396846798,True
16963.0,16966.190009289767,16971.46282748183,True
16978.0,16966.82314541891,16971.540930117077,True
16982.0,16967.509788840536,16971.672540044798,True
16971.0,16968.60921820095,16972.21693591131,True
16911.0,16969.73736305427,16972.79004727073,True
16948.0,16972.0042441113,16974.50189483386,True
16970.0,16971.368899994366,16973.31151722302,True
16968.0,16971.829915027913,16973.217498762668,True
16972.0,16972.373167411406,16973.205717652258,True
16957.0,16972.9135214468,16973.191038193752,True
16967.0,16973.446211609025,16973.168694862074,True
16977.0,16973.832804637263,16973.00025439641,True
16976.0,16974.192447397658,16972.804863662903,True
16981.0,16974.798193409148,16972.855576180493,True
16972.0,16975.541487155995,16973.043836433437,True
16975.0,16976.177172083717,16973.12448786726,True
16980.0,16976.19261052076,16972.5848928104,True
16969.0,16976.340400057,16972.17764885274,True
16982.0,16976.550365713756,16971.83258101559,True
16979.0,16976.980929158453,16971.70811096639,True
16967.0,16976.824840734076,16970.996989048108,True
16967.0,16976.610246459113,16970.227361279245,True
16981.0,16976.575014780603,16969.63709610683,True
16978.0,16976.43845452264,16968.945502354967,True
16991.0,16976.376290053762,16968.328304392187,True
16971.0,16976.603840964195,16968.000821808717,True
16977.0,16976.371734258377,16967.213681609,True
16987.0,16976.109289567303,16966.39620342402,True
16990.0,16976.128948814785,16965.860829177604,True
16986.0,16976.20858784665,16965.385434715565,True
16982.0,16976.384708371323,16965.006521746338,True
16979.0,16976.523869860288,16964.5906497414,True
16897.0,16976.5908785029,16964.10262489011,True
16951.0,16976.71412092423,16963.670833817538,True
16978.0,16976.881237635902,16963.28291703531,True
16987.0,16976.685679245107,16962.532325150612,True
17003.0,16976.477449684287,16961.769062095893,True
17008.0,16976.58212520038,16961.318704118083,True
17005.0,16976.47981496936,16960.661360393162,True
17006.0,16976.17881787936,16959.80532980926,True
17002.0,16976.06015746963,16959.13163590563,True
16982.0,16976.152080254145,16958.66852519624,True
16980.0,16976.24315829399,16958.204569742185,True
16974.0,16976.19157934968,16957.597957303973,True
16978.0,16976.185118509424,16957.036462969816,True
16992.0,16976.20192601542,16956.498236981908,True
16970.0,16976.250405620656,16955.991683093245,True
16973.0,16976.43487455299,16955.621118531675,True
16975.0,16976.78031686421,16955.411527348995,True
16984.0,16977.276304327035,16955.352481317917,True
16984.0,16977.71273437781,16955.233877874787,True
16989.0,16978.350630206227,16955.316740209306,True
16982.0,16979.513799921253,16955.92487643043,True
16965.0,16981.31839591483,16957.174438930106,True
16968.0,16982.048505819028,16957.3495153404,True
16879.0,16981.786597103885,16956.532573131357,True
16980.0,16982.003326543818,16956.194269077387,True
16975.0,16982.405864855904,16956.041773895573,True
